Accuracy,Neighbors,P

1
0.9999475802193578,1,1
0.9332658207076366,2,1
0.9409320236998185,3,1
0.9208309370909453,4,1
0.9157629319218991,5,1
0.902828920828658,6,1
0.8970870555809213,7,1
0.8853305902847154,8,1
0.8789406949951265,9,1
0.8696449205612411,10,1
0.8626100340576632,11,1
0.8548671006619327,12,1
0.8483305819279388,13,1
0.8412759430432494,14,1
0.8356381576498313,15,1
0.8295377107142233,16,1
0.8241908930887178,17,1
0.8191730285794163,18,1
0.8145426146226877,19,1

2
0.9999475802193578,1,2
0.9157705289915574,2,2
0.9229558374743694,3,2
0.8949310072118982,4,2
0.8855129199565144,5,2
0.8624026340559919,6,2
0.853251203945614,7,2
0.8388350045620403,8,2
0.8309522850845972,9,2
0.8192467201551018,10,2
0.8113093017761189,11,2
0.8032746409055099,12,2
0.7972174972669542,13,2
0.7898513785262748,14,2
0.7843708524747834,15,2
0.7793765388814227,16,2
0.7751069857334629,17,2
0.7703185527278418,18,2
0.7664174574583091,19,2





***************************************************
Accuracy,Neighbors,P
0.9999355752341476,1,1
0.9332279846596123,2,1
0.9408726516868956,3,1
0.9211975713078835,4,1
0.9158174955783946,5,1
0.9029386202160053,6,1
0.8970869065780117,7,1
0.8856557651048725,8,1
0.8789531583329788,9,1
0.8699069487579999,10,1
0.8628287334455702,11,1
0.8551706952404685,12,1
0.8484814596463931,13,1
0.8413789331015663,14,1
0.8355928597910449,15,1
0.8296451167850827,16,1
0.8243331125063057,17,1
0.8194356147399002,18,1
0.8148748275421952,19,1
0.9999355752341476,1,2
0.9160204943689108,2,2
0.9232117569119873,3,2
0.8953474378999957,4,2
0.8856983097615676,5,2
0.8627120395300639,6,2
0.8534725556575277,7,2
0.8392784426224527,8,2
0.8313055739578079,9,2
0.8196070089283001,10,2
0.8112633939695988,11,2
0.80349595521871,12,2
0.7973622312849095,13,2
0.7902511958087436,14,2
0.784578169728869,15,2
0.7795117088973033,16,2
0.7752997878844974,17,2
0.7708107188223638,18,2
0.766726431779643,19,2
